t (µs);roll (deg);T_sample (µs)
54223916;-18,399994;9960,000
54233896;-18,199997;9980,000
54243896;-17,949997;10000,000
54253888;-17,660004;9992,000
54263884;-17,320007;9996,000
54273880;-16,949997;9996,000
54283868;-16,580002;9988,000
54293848;-16,199997;9980,000
54303848;-15,779999;10000,000
54313848;-15,320007;10000,000
54323832;-14,809998;9984,000
54333820;-14,210007;9988,000
54343812;-13,5099945;9992,000
54353800;-12,679993;9988,000
54363796;-11,720001;9996,000
54373784;-10,600006;9988,000
54383768;-9,320007;9984,000
54393772;-7,9100037;10004,000
54403764;-6,369995;9992,000
54413764;-4,6900024;10000,000
54423736;-2,9100037;9972,000
54433748;-1,0599976;10012,000
54443736;0,8200073;9988,000
54453736;2,6699982;10000,000
54463708;4,4900055;9972,000
54473712;6,2599945;10004,000
54483712;8,039993;10000,000
54493688;9,820007;9976,000
54503668;11,580002;9980,000
54513660;13,309998;9992,000
54523672;14,940002;10012,000
54533656;16,479996;9984,000
54543644;17,940002;9988,000
54553628;19,350006;9984,000
54563632;20,740005;10004,000
54573628;22,119995;9996,000
54583608;23,5;9980,000
54593596;24,850006;9988,000
54603596;26,179993;10000,000
54613596;27,419998;10000,000
54623588;28,509995;9992,000
54633576;29,399994;9988,000
54643564;30,070007;9988,000
54653560;30,5;9996,000
54663544;30,720001;9984,000
54673516;30,710007;9972,000
54683496;30,479996;9980,000
54693500;29,990005;10004,000
54703500;29,229996;10000,000
54713476;28,179993;9976,000
54723484;26,869995;10008,000
54733456;25,300003;9972,000
54743460;23,490005;10004,000
54753448;21,479996;9988,000
54763436;19,320007;9988,000
54773432;17,039993;9996,000
54783424;14,660004;9992,000
54793412;12,229996;9988,000
54803388;9,800003;9976,000
54813400;7,4100037;10012,000
54823396;5,130005;9996,000
54833368;3;9972,000
54843416;1,0599976;10048,000
54853404;-0,7299957;9988,000
54863388;-2,4400024;9984,000
54873344;-4,0899963;9956,000
54883352;-5,720001;10008,000
54893344;-7,3099976;9992,000
54903332;-8,860001;9988,000
54913328;-10,339996;9996,000
54923296;-11,770004;9968,000
54933288;-13,160004;9992,000
54943296;-14,5099945;10008,000
54953284;-15,860001;9988,000
54963272;-17,210007;9988,000
54973252;-18,520004;9980,000
54983256;-19,720001;10004,000
54993220;-20,800003;9964,000
55003216;-21,75;9996,000
55013220;-22,64;10004,000
55023204;-23,570007;9984,000
55033208;-24,529999;10004,000
55043188;-25,509995;9980,000
55053184;-26,490005;9996,000
55063176;-27,380005;9992,000
55073168;-28,160004;9992,000
55083156;-28,830002;9988,000
55093164;-29,429993;10008,000
55103156;-29,960007;9992,000
55113136;-30,449997;9980,000
55123128;-30,940002;9992,000
55133116;-31,509995;9988,000
55143100;-32,160004;9984,000
55153108;-32,869995;10008,000
55163096;-33,550003;9988,000
55173096;-34,119995;10000,000
55183064;-34,550003;9968,000
55193072;-34,850006;10008,000
55203052;-35,070007;9980,000
55213032;-35,240005;9980,000
55223036;-35,410004;10004,000
55233040;-35,559998;10004,000
55243016;-35,64;9976,000
55253028;-35,559998;10012,000
55262992;-35,289993;9964,000
55272992;-34,789993;10000,000
55282988;-34,050003;9996,000
55292972;-33,089996;9984,000
55302956;-31,940002;9984,000
55312944;-30,699997;9988,000
55322944;-29,460007;10000,000
55332924;-28,279999;9980,000
55342944;-27,169998;10020,000
55352920;-26,070007;9976,000
55362908;-24,869995;9988,000
55372908;-23,550003;10000,000
55382908;-22,039993;10000,000
55392912;-20,350006;10004,000
55402904;-18,520004;9992,000
55412892;-16,619995;9988,000
55422884;-14,699997;9992,000
55432872;-12,850006;9988,000
55442864;-11,130005;9992,000
55452844;-9,559998;9980,000
55462856;-8,179993;10012,000
55472836;-6,9799957;9980,000
